case_name,prod_url,site_type
"case1: 90s Retro Business Card",https://90s-retro-business-card-pfj8eq5i-v1.metagptx.test.metadl.com,MGX
"case1: 90s Retro Business Card",https://retro-vibe-card-maker.lovable.app,Lovable
"case1: 90s Retro Business Card",https://preeminent-beignet-625853.netlify.app,bolt
"case2: Bakery ordering system",https://bakery-ordering-system-8uuct4nq-v1.metagptx.test.metadl.com/,MGX
"case2: Bakery ordering system",https://chelsea-bakescape.lovable.app,Lovable
"case2: Bakery ordering system",https://relaxed-alfajores-cb034f.netlify.app,bolt
"case3: ExpensePlanner",https://expenseplanner-ijlvl247-v1.metagptx.test.metadl.com,MGX
"case3: ExpensePlanner",http://expenseevolution.lovable.app/,Lovable
"case3: ExpensePlanner",https://jocular-brioche-453339.netlify.app/,bolt
"case4: LeadGenerationTracker",https://leadgenerationtracker-th4e6va1-v1.metagptx.test.metadl.com/,MGX
"case4: LeadGenerationTracker",https://funnelgenie-tracker.lovable.app/,Lovable
"case4: LeadGenerationTracker",https://sensational-trifle-28d7b4.netlify.app/,bolt
"case5: Cyberpunk Futuristic Sneaker Website",https://cyberpunk-futuristic-sneaker-website-6u5khtym-v1.metagptx.test.metadl.com/,MGX
"case5: Cyberpunk Futuristic Sneaker Website",https://neon-sneaker-syndicate.lovable.app/,Lovable
"case5: Cyberpunk Futuristic Sneaker Website",https://dazzling-mermaid-7a1e89.netlify.app/,bolt
"case6: Manufacturer Website",https://manufacturer-website-8iozvrvs-v1.metagptx.test.metadl.com/,MGX
"case6: Manufacturer Website",https://apparel-aura.lovable.app/,Lovable
"case7: LUXURY photography portfolio",https://luxury-photography-portfolio-7btti1y5-v1.metagptx.test.metadl.com/,MGX
"case7: LUXURY photography portfolio",https://elegant-portfolio-interaction.lovable.app/,Lovable
"case7: LUXURY photography portfolio",https://soft-ganache-ac66db.netlify.app/,bolt
"case8: OfficeEmployeeTaskAllocator",https://officeemployeetaskallocator-idg4gufz-v1.metagptx.test.metadl.com/,MGX
"case8: OfficeEmployeeTaskAllocator",https://employeegrove.lovable.app/,Lovable
"case8: OfficeEmployeeTaskAllocator",https://chipper-maamoul-b7ccaa.netlify.app/,bolt
"case10: modern minimalist business card",https://modern-minimalist-business-card-2l7d5igr-v1.metagptx.test.metadl.com/,MGX
"case10: modern minimalist business card",https://socialcardista.lovable.app/,Lovable
"case10: modern minimalist business card",https://lucky-sunflower-ccf457.netlify.app/,bolt
"case11: white blog desgin",http://white-blog-desgin-zkxwoiwa-v1.metagptx.test.metadl.com/,MGX
"case11: white blog desgin",https://thoughtful-posts.lovable.app/,Lovable
"case11: white blog desgin",https://majestic-blini-04a12d.netlify.app/,bolt
"case12: Real estate agency website",https://real-estate-agency-website-zyhcyw43-v1.metagptx.test.metadl.com/,MGX
"case12: Real estate agency website",https://bejewelled-paprenjak-527836.netlify.app/,bolt
"case13: CourseBooking Page",https://coursebooking-page-qey1ubqa-v1.metagptx.test.metadl.com/,MGX
"case13: CourseBooking Page",https://elegant-cactus-e53160.netlify.app/,bolt
